"X.Y..m..d","CITCRP","CONED","CONTIL","DATGEN","DEC","DELTA","GENMIL","GERBER","IBM","MARKET","MOBIL","PANAM","PSNH","TANDY","TEXACO","WEYER","RKFREE"
"1978-01-01","-0.115","-0.079","-0.129","-0.084","-0.100","-0.028","-0.099","-0.048","-0.029","-0.045","-0.046"," 0.025","-0.008","-0.075","-0.054","-0.116","0.00487"
"1978-02-01","-0.019","-0.003"," 0.037","-0.097","-0.063","-0.033"," 0.018"," 0.160","-0.043"," 0.010","-0.017","-0.073","-0.025","-0.004","-0.010","-0.135","0.00494"
"1978-03-01"," 0.059"," 0.022"," 0.003"," 0.063"," 0.010"," 0.070","-0.023","-0.036","-0.063"," 0.050"," 0.049"," 0.184"," 0.026"," 0.124"," 0.015"," 0.084","0.00526"
"1978-04-01"," 0.127","-0.005"," 0.180"," 0.179"," 0.165"," 0.150"," 0.046"," 0.004"," 0.130"," 0.063"," 0.077"," 0.089","-0.008"," 0.055"," 0.000"," 0.144","0.00491"
"1978-05-01"," 0.005","-0.014"," 0.061"," 0.052"," 0.038","-0.031"," 0.063"," 0.046","-0.018"," 0.067","-0.011"," 0.082"," 0.019"," 0.176","-0.029","-0.031","0.00513"
"1978-06-01"," 0.007"," 0.034","-0.059","-0.023","-0.021"," 0.023"," 0.008"," 0.028","-0.004"," 0.007","-0.043"," 0.019"," 0.032","-0.014","-0.025"," 0.005","0.00527"
"1978-07-01"," 0.032"," 0.011"," 0.066"," 0.143"," 0.107"," 0.185"," 0.075","-0.012"," 0.092"," 0.071"," 0.028"," 0.204","-0.014"," 0.194"," 0.042"," 0.164","0.00528"
"1978-08-01"," 0.088"," 0.024"," 0.033"," 0.026","-0.017","-0.021","-0.051","-0.079"," 0.049"," 0.079"," 0.056"," 0.031"," 0.045"," 0.222"," 0.000"," 0.039","0.00607"
"1978-09-01"," 0.011"," 0.048","-0.013","-0.031","-0.037","-0.081","-0.012"," 0.104","-0.051"," 0.002"," 0.064"," 0.075"," 0.061","-0.100"," 0.010","-0.021","0.00645"
"1978-10-01","-0.071","-0.067","-0.123","-0.085","-0.077","-0.153","-0.032","-0.138","-0.046","-0.189","-0.069","-0.250","-0.033","-0.206","-0.066","-0.090","0.00685"
"1978-11-01","-0.005"," 0.035","-0.038"," 0.044"," 0.064"," 0.055"," 0.009"," 0.078"," 0.031"," 0.084"," 0.037"," 0.000","-0.012"," 0.086"," 0.055","-0.033","0.00719"
"1978-12-01","-0.019"," 0.005"," 0.047"," 0.034"," 0.117","-0.023"," 0.022","-0.086"," 0.108"," 0.015"," 0.041","-0.019","-0.031"," 0.085"," 0.000","-0.034","0.00690"
"1979-01-01"," 0.043"," 0.076","-0.024","-0.008","-0.012","-0.054","-0.032"," 0.042"," 0.034"," 0.058"," 0.061"," 0.019"," 0.066","-0.046"," 0.037"," 0.203","0.00761"
"1979-02-01","-0.082","-0.011","-0.020","-0.015","-0.066","-0.060","-0.079","-0.023","-0.017"," 0.011","-0.002","-0.130"," 0.000","-0.135","-0.010","-0.038","0.00761"
"1979-03-01"," 0.026"," 0.000"," 0.043"," 0.171"," 0.088"," 0.098","-0.043"," 0.065"," 0.052"," 0.123"," 0.029"," 0.043","-0.037"," 0.122"," 0.068"," 0.097","0.00769"
"1979-04-01"," 0.000","-0.057"," 0.064"," 0.009"," 0.005","-0.056"," 0.022","-0.088","-0.004"," 0.026"," 0.079"," 0.020","-0.050","-0.094"," 0.059","-0.069","0.00764"
"1979-05-01"," 0.022"," 0.032"," 0.005","-0.045","-0.028"," 0.063"," 0.035","-0.023","-0.022"," 0.014","-0.086","-0.060","-0.007","-0.148","-0.040","-0.013","0.00772"
"1979-06-01"," 0.095"," 0.066"," 0.092"," 0.019"," 0.059","-0.006","-0.043"," 0.095","-0.035"," 0.075"," 0.088"," 0.000"," 0.084"," 0.096"," 0.083"," 0.053","0.00715"
"1979-07-01","-0.075"," 0.015","-0.034","-0.059"," 0.009"," 0.075","-0.013","-0.096","-0.049","-0.013"," 0.018"," 0.319","-0.024"," 0.006"," 0.032"," 0.000","0.00728"
"1979-08-01"," 0.065","-0.021"," 0.058"," 0.078"," 0.140"," 0.021"," 0.138"," 0.148"," 0.016"," 0.095"," 0.111","-0.065"," 0.027"," 0.250"," 0.041"," 0.165","0.00789"
"1979-09-01","-0.017"," 0.000","-0.033","-0.031","-0.027","-0.026","-0.032","-0.009","-0.032"," 0.039"," 0.180","-0.034","-0.040","-0.005"," 0.030","-0.015","0.00802"
"1979-10-01","-0.125","-0.049","-0.136","-0.246","-0.010","-0.147","-0.067","-0.090","-0.079","-0.097","-0.031","-0.089","-0.067","-0.037","-0.053","-0.083","0.00913"
"1979-11-01"," 0.030"," 0.109"," 0.081"," 0.062"," 0.095"," 0.063"," 0.005","-0.014"," 0.060"," 0.116"," 0.051","-0.098"," 0.008"," 0.170"," 0.067","-0.065","0.00819"
"1979-12-01"," 0.113"," 0.005"," 0.104"," 0.021"," 0.018"," 0.020"," 0.005","-0.036","-0.013"," 0.086"," 0.063"," 0.043","-0.068"," 0.037","-0.029"," 0.104","0.00747"
"1980-01-01","-0.079","-0.039","-0.103"," 0.157"," 0.058"," 0.022"," 0.003"," 0.048"," 0.066"," 0.124"," 0.075","-0.042"," 0.043"," 0.032"," 0.229"," 0.069","0.00883"
"1980-02-01","-0.080","-0.061","-0.087"," 0.043"," 0.034","-0.093","-0.096","-0.004","-0.062"," 0.112"," 0.366","-0.109","-0.056"," 0.143"," 0.161"," 0.033","0.01073"
"1980-03-01","-0.069"," 0.006"," 0.085","-0.094","-0.182","-0.031"," 0.011","-0.237","-0.122","-0.243","-0.176","-0.195","-0.051","-0.105","-0.179","-0.129","0.01181"
"1980-04-01"," 0.048"," 0.140"," 0.074"," 0.027"," 0.047","-0.018"," 0.059"," 0.027","-0.016"," 0.080"," 0.119"," 0.000"," 0.128","-0.038"," 0.082"," 0.027","0.00753"
"1980-05-01"," 0.104"," 0.043"," 0.023","-0.043"," 0.016"," 0.144"," 0.180"," 0.233"," 0.025"," 0.062"," 0.003"," 0.121"," 0.083"," 0.256"," 0.007"," 0.089","0.00630"
"1980-06-01"," 0.058"," 0.040"," 0.064"," 0.108"," 0.021"," 0.010","-0.013"," 0.011"," 0.061"," 0.086","-0.024","-0.027"," 0.038"," 0.041"," 0.032","-0.026","0.00503"
"1980-07-01","-0.023","-0.027","-0.034"," 0.212"," 0.183"," 0.283"," 0.012"," 0.005"," 0.111"," 0.065"," 0.054"," 0.278"," 0.002"," 0.446"," 0.003"," 0.140","0.00602"
"1980-08-01"," 0.029","-0.005","-0.018"," 0.058"," 0.081","-0.056"," 0.018","-0.008"," 0.017"," 0.025","-0.059","-0.043","-0.023"," 0.167"," 0.031","-0.041","0.00731"
"1980-09-01","-0.068","-0.010"," 0.034","-0.136"," 0.045","-0.053","-0.013"," 0.066","-0.021"," 0.015"," 0.007","-0.091","-0.054"," 0.157","-0.037","-0.064","0.00860"
"1980-10-01","-0.049","-0.021"," 0.035"," 0.007","-0.028"," 0.046","-0.073"," 0.026"," 0.039"," 0.006"," 0.059","-0.025"," 0.010","-0.015"," 0.087"," 0.017","0.00895"
"1980-11-01"," 0.123","-0.035","-0.017"," 0.000"," 0.056"," 0.220","-0.030"," 0.023"," 0.035"," 0.092"," 0.193"," 0.026","-0.050"," 0.212"," 0.399"," 0.015","0.01137"
"1980-12-01"," 0.131"," 0.131"," 0.103","-0.098"," 0.035"," 0.040"," 0.102"," 0.070","-0.004","-0.056","-0.081","-0.150"," 0.018"," 0.022","-0.109"," 0.007","0.00977"
"1981-01-01","-0.062","-0.015"," 0.040","-0.231","-0.089"," 0.112"," 0.079"," 0.056","-0.052","-0.014","-0.082"," 0.118"," 0.089","-0.139","-0.145"," 0.028","0.01092"
"1981-02-01","-0.005","-0.021"," 0.069","-0.072"," 0.006"," 0.031"," 0.013","-0.020"," 0.011","-0.009","-0.067","-0.079"," 0.025"," 0.082","-0.012"," 0.025","0.01096"
"1981-03-01"," 0.045"," 0.151"," 0.024"," 0.184"," 0.075"," 0.024"," 0.146"," 0.023","-0.029"," 0.067","-0.042"," 0.143"," 0.008"," 0.299","-0.063"," 0.088","0.01025"
"1981-04-01"," 0.086"," 0.061","-0.025"," 0.088"," 0.075"," 0.062"," 0.019"," 0.031","-0.060","-0.008","-0.025"," 0.025","-0.014"," 0.092","-0.003","-0.050","0.01084"
"1981-05-01"," 0.099"," 0.017"," 0.117"," 0.112"," 0.107"," 0.105"," 0.030"," 0.008"," 0.017"," 0.064","-0.092"," 0.122"," 0.034"," 0.136","-0.055","-0.031","0.01255"
"1981-06-01","-0.013"," 0.022"," 0.077","-0.178","-0.112","-0.114"," 0.094"," 0.066","-0.015","-0.003"," 0.053","-0.196"," 0.041","-0.167"," 0.025"," 0.021","0.01128"
"1981-07-01","-0.019"," 0.026","-0.092"," 0.007","-0.014","-0.094","-0.045"," 0.021","-0.030","-0.033"," 0.021","-0.216"," 0.002"," 0.032"," 0.045","-0.081","0.01154"
"1981-08-01","-0.108"," 0.021","-0.030","-0.191","-0.065","-0.072","-0.031"," 0.031","-0.002","-0.031","-0.057","-0.069","-0.032","-0.063"," 0.003","-0.061","0.01169"
"1981-09-01"," 0.032","-0.013"," 0.003"," 0.089","-0.019","-0.013"," 0.036"," 0.000","-0.018","-0.164","-0.106","-0.111","-0.033","-0.008","-0.093","-0.113","0.01054"
"1981-10-01"," 0.052"," 0.112"," 0.049"," 0.094"," 0.102","-0.072"," 0.067","-0.012","-0.048"," 0.062"," 0.025"," 0.000"," 0.045"," 0.241"," 0.008","-0.020","0.01003"
"1981-11-01"," 0.045"," 0.038"," 0.010"," 0.093","-0.065","-0.032","-0.030"," 0.011"," 0.075"," 0.069"," 0.038"," 0.167"," 0.077","-0.037"," 0.065"," 0.179","0.00816"
"1981-12-01","-0.028","-0.008","-0.106","-0.083","-0.060","-0.062","-0.024","-0.077"," 0.044","-0.039","-0.090","-0.214","-0.056","-0.046","-0.047","-0.072","0.00740"
"1982-01-01"," 0.035"," 0.042"," 0.102","-0.002"," 0.027"," 0.056","-0.030","-0.004"," 0.119","-0.079","-0.016"," 0.091","-0.040"," 0.059","-0.045","-0.079","0.00949"
"1982-02-01"," 0.000"," 0.036","-0.175","-0.152","-0.049"," 0.145"," 0.098","-0.111","-0.014","-0.101","-0.016","-0.042"," 0.091","-0.101","-0.004"," 0.014","0.00946"
"1982-03-01"," 0.007"," 0.022","-0.017","-0.302","-0.104"," 0.038"," 0.020"," 0.136","-0.034","-0.028","-0.038"," 0.087"," 0.017","-0.051","-0.029","-0.009","0.01067"
"1982-04-01"," 0.101"," 0.050","-0.013"," 0.047"," 0.054","-0.025"," 0.076"," 0.044"," 0.075"," 0.041","-0.011"," 0.160"," 0.068"," 0.053","-0.008"," 0.059","0.00972"
"1982-05-01","-0.101"," 0.016","-0.091","-0.180","-0.056"," 0.042","-0.027"," 0.043","-0.029"," 0.003"," 0.092"," 0.000"," 0.000","-0.163"," 0.034","-0.086","0.00908"
"1982-06-01","-0.003","-0.024","-0.096","-0.060","-0.073"," 0.106"," 0.050","-0.033","-0.014","-0.078","-0.038","-0.103","-0.048"," 0.023","-0.017","-0.015","0.00914"
"1982-07-01","-0.025","-0.032","-0.303","-0.054","-0.055","-0.118"," 0.038"," 0.019"," 0.082","-0.006","-0.073"," 0.077","-0.015"," 0.050","-0.060","-0.012","0.00714"
"1982-08-01"," 0.077"," 0.133"," 0.070"," 0.216"," 0.273"," 0.055"," 0.032"," 0.130"," 0.087"," 0.122"," 0.157","-0.036"," 0.096"," 0.017"," 0.056"," 0.221","0.00503"
"1982-09-01"," 0.059"," 0.039"," 0.058","-0.165","-0.061","-0.139"," 0.000"," 0.209"," 0.041"," 0.008"," 0.043","-0.259"," 0.032","-0.026"," 0.027","-0.029","0.00563"
"1982-10-01"," 0.318","-0.050"," 0.268"," 0.528"," 0.133"," 0.171"," 0.160","-0.009"," 0.089"," 0.136"," 0.020"," 0.350"," 0.079"," 0.454"," 0.056"," 0.150","0.00620"
"1982-11-01"," 0.007","-0.011","-0.106"," 0.003"," 0.175"," 0.289","-0.025","-0.072"," 0.094"," 0.049","-0.040"," 0.074"," 0.015"," 0.273"," 0.012"," 0.141","0.00614"
"1982-12-01","-0.098"," 0.123"," 0.037"," 0.053","-0.052"," 0.093","-0.020"," 0.015"," 0.113"," 0.014"," 0.069"," 0.000"," 0.022","-0.042"," 0.029","-0.040","0.00648"
"1983-01-01"," 0.085","-0.012"," 0.049"," 0.208"," 0.225"," 0.040","-0.039"," 0.015"," 0.027"," 0.065"," 0.055"," 0.103"," 0.066"," 0.091"," 0.036"," 0.023","0.00646"
"1983-02-01"," 0.039"," 0.060","-0.035"," 0.237","-0.010"," 0.027"," 0.067"," 0.024"," 0.010"," 0.028"," 0.009"," 0.406"," 0.021"," 0.032"," 0.008"," 0.065","0.00599"
"1983-03-01"," 0.132"," 0.048"," 0.097"," 0.040"," 0.034","-0.016"," 0.061"," 0.084"," 0.028"," 0.043"," 0.095","-0.067"," 0.041","-0.004"," 0.039","-0.023","0.00686"
"1983-04-01"," 0.104"," 0.045"," 0.073"," 0.079","-0.060","-0.043"," 0.066"," 0.119"," 0.150"," 0.097"," 0.091"," 0.024","-0.005"," 0.084"," 0.098"," 0.091","0.00652"
"1983-05-01","-0.102","-0.012"," 0.000","-0.114","-0.052","-0.045"," 0.023"," 0.016","-0.041"," 0.080","-0.052"," 0.186"," 0.000","-0.010","-0.038","-0.067","0.00649"
"1983-06-01","-0.016"," 0.000","-0.068","-0.042"," 0.075"," 0.012","-0.026"," 0.114"," 0.081"," 0.048"," 0.077"," 0.275","-0.087","-0.168"," 0.018","-0.013","0.00673"
"1983-07-01","-0.079"," 0.017"," 0.046"," 0.173","-0.142","-0.259","-0.072","-0.007"," 0.001","-0.017","-0.060","-0.015"," 0.009","-0.123"," 0.036","-0.071","0.00714"
"1983-08-01","-0.007","-0.023"," 0.055"," 0.053"," 0.007"," 0.080","-0.010"," 0.062"," 0.001","-0.034"," 0.118","-0.047","-0.015","-0.048"," 0.059","-0.011","0.00668"
"1983-09-01"," 0.006"," 0.087","-0.026"," 0.090","-0.005"," 0.041","-0.037"," 0.049"," 0.062"," 0.000","-0.050","-0.066"," 0.069","-0.083","-0.037","-0.033","0.00702"
"1983-10-01","-0.118"," 0.101","-0.088","-0.069","-0.364"," 0.039"," 0.116"," 0.000","-0.001","-0.082","-0.032"," 0.035","-0.013","-0.058","-0.014","-0.046","0.00678"
"1983-11-01"," 0.162","-0.025"," 0.096","-0.014"," 0.065"," 0.120","-0.014"," 0.077","-0.066"," 0.066","-0.033"," 0.119","-0.149"," 0.082"," 0.011"," 0.151","0.00683"
"1983-12-01"," 0.023"," 0.005","-0.016"," 0.068"," 0.034","-0.028","-0.009"," 0.063"," 0.039","-0.012"," 0.009","-0.015","-0.193"," 0.095"," 0.021","-0.069","0.00693"
"1984-01-01"," 0.024"," 0.005","-0.034"," 0.117"," 0.208","-0.013","-0.009"," 0.065","-0.065","-0.029"," 0.084"," 0.031"," 0.013","-0.190"," 0.108","-0.039","0.00712"
"1984-02-01","-0.039","-0.069","-0.101"," 0.027","-0.024","-0.117","-0.073","-0.091","-0.026","-0.030"," 0.024","-0.179","-0.011","-0.100"," 0.151","-0.093","0.00672"
"1984-03-01","-0.054"," 0.055","-0.033"," 0.056"," 0.057"," 0.065","-0.018","-0.003"," 0.034"," 0.003","-0.028","-0.018","-0.227","-0.008","-0.122"," 0.094","0.00763"
"1984-04-01","-0.004"," 0.031","-0.231"," 0.089"," 0.053","-0.085"," 0.065","-0.025","-0.002","-0.003"," 0.029","-0.185","-0.485"," 0.120"," 0.022","-0.088","0.00741"
"1984-05-01","-0.148"," 0.021","-0.600","-0.094","-0.071","-0.070"," 0.018","-0.087","-0.044","-0.058","-0.146","-0.045"," 0.143","-0.231","-0.105","-0.087","0.00627"
"1984-06-01"," 0.078"," 0.020"," 0.000"," 0.056","-0.043","-0.012"," 0.055"," 0.105","-0.019"," 0.005"," 0.010","-0.024","-0.050","-0.037","-0.046"," 0.019","0.00748"
"1984-07-01","-0.029"," 0.054","-0.205","-0.061","-0.009"," 0.045","-0.018","-0.112"," 0.047","-0.058","-0.092","-0.024","-0.158"," 0.029","-0.044"," 0.036","0.00771"
"1984-08-01"," 0.164"," 0.029"," 0.086"," 0.312"," 0.159"," 0.040"," 0.061"," 0.018"," 0.127"," 0.146"," 0.261"," 0.000"," 0.031"," 0.079"," 0.140"," 0.055","0.00852"
"1984-09-01"," 0.076"," 0.051"," 0.974","-0.132","-0.025"," 0.008"," 0.011"," 0.165"," 0.004"," 0.000"," 0.013"," 0.000"," 0.000","-0.100"," 0.045","-0.069","0.00830"
"1984-10-01","-0.027"," 0.019","-0.232"," 0.047"," 0.093"," 0.161","-0.010","-0.160"," 0.012","-0.035"," 0.014","-0.050","-0.061","-0.096","-0.080"," 0.035","0.00688"
"1984-11-01"," 0.000"," 0.004","-0.023"," 0.019"," 0.006","-0.026","-0.072"," 0.094","-0.023","-0.019","-0.042","-0.026"," 0.194"," 0.027"," 0.007"," 0.032","0.00602"
"1984-12-01"," 0.098"," 0.084"," 0.095"," 0.096"," 0.070"," 0.156"," 0.017","-0.005"," 0.011","-0.001","-0.052"," 0.000","-0.189"," 0.005"," 0.000"," 0.026","0.00612"
"1985-01-01"," 0.097","-0.021"," 0.587"," 0.215"," 0.084","-0.010"," 0.095"," 0.091"," 0.108"," 0.097"," 0.053","-0.027"," 0.267"," 0.170"," 0.044"," 0.084","0.00606"
"1985-02-01","-0.015"," 0.034","-0.096","-0.210","-0.067"," 0.087"," 0.000"," 0.006","-0.009"," 0.012"," 0.071","-0.028"," 0.026"," 0.119"," 0.022","-0.016","0.00586"
"1985-03-01"," 0.046"," 0.057"," 0.030","-0.195","-0.071","-0.003"," 0.054"," 0.130","-0.052"," 0.008"," 0.000"," 0.086","-0.077"," 0.094"," 0.014","-0.081","0.00650"
"1985-04-01"," 0.012"," 0.019","-0.029","-0.157","-0.050","-0.123","-0.083","-0.037","-0.004","-0.010"," 0.027"," 0.053","-0.056","-0.133"," 0.111"," 0.003","0.00601"
"1985-05-01"," 0.094"," 0.098","-0.091","-0.078"," 0.057"," 0.179"," 0.137"," 0.234"," 0.025"," 0.019"," 0.029"," 0.350"," 0.059"," 0.091","-0.065"," 0.031","0.00512"
"1985-06-01"," 0.043"," 0.046","-0.050"," 0.060","-0.101"," 0.021"," 0.060","-0.031","-0.038","-0.003","-0.032"," 0.056"," 0.222"," 0.087"," 0.031","-0.004","0.00536"
"1985-07-01","-0.030","-0.084"," 0.018"," 0.043"," 0.080"," 0.008","-0.099","-0.036"," 0.062"," 0.012"," 0.002"," 0.000"," 0.318","-0.119","-0.030"," 0.020","0.00562"
"1985-08-01","-0.063"," 0.043","-0.052","-0.006"," 0.032","-0.066"," 0.002"," 0.025","-0.028"," 0.005","-0.013"," 0.088"," 0.121"," 0.063"," 0.021","-0.013","0.00545"
"1985-09-01","-0.085","-0.032"," 0.036"," 0.000"," 0.036","-0.112"," 0.081","-0.048","-0.022","-0.055"," 0.004","-0.065","-0.046","-0.011","-0.007","-0.074","0.00571"
"1985-10-01"," 0.090"," 0.066"," 0.105"," 0.032"," 0.040","-0.083"," 0.013"," 0.097"," 0.048"," 0.026"," 0.100"," 0.069"," 0.016"," 0.098"," 0.099"," 0.008","0.00577"
"1985-11-01"," 0.062"," 0.032"," 0.048"," 0.109"," 0.073"," 0.020"," 0.114"," 0.137"," 0.085"," 0.059","-0.008"," 0.016"," 0.000"," 0.021","-0.175"," 0.171","0.00540"
"1985-12-01"," 0.065"," 0.082"," 0.197"," 0.023"," 0.095"," 0.030"," 0.027"," 0.063"," 0.113"," 0.013","-0.040","-0.016"," 0.063"," 0.098","-0.077","-0.004","0.00479"
"1986-01-01"," 0.005"," 0.022"," 0.000","-0.055"," 0.162"," 0.122"," 0.019","-0.088","-0.026","-0.009","-0.021"," 0.129"," 0.224","-0.040","-0.038"," 0.072","0.00548"
"1986-02-01"," 0.101"," 0.048","-0.051","-0.044"," 0.093","-0.055"," 0.121"," 0.034"," 0.003"," 0.049","-0.003","-0.029"," 0.049"," 0.096"," 0.071"," 0.123","0.00523"
"1986-03-01"," 0.153"," 0.021","-0.040","-0.043","-0.063"," 0.076"," 0.072"," 0.174"," 0.004"," 0.048","-0.026","-0.074"," 0.023","-0.047","-0.004"," 0.051","0.00508"
"1986-04-01","-0.042","-0.006","-0.097"," 0.061"," 0.119"," 0.059","-0.051"," 0.113"," 0.031","-0.009"," 0.042","-0.206","-0.136","-0.058"," 0.050","-0.037","0.00444"
"1986-05-01"," 0.038"," 0.042","-0.046","-0.015"," 0.037","-0.043"," 0.109","-0.040","-0.018"," 0.049"," 0.082"," 0.060","-0.092"," 0.094"," 0.069"," 0.010","0.00469"
"1986-06-01","-0.036"," 0.017","-0.161","-0.155","-0.063","-0.070"," 0.071","-0.038","-0.039"," 0.004"," 0.012","-0.094"," 0.101","-0.092","-0.042","-0.061","0.00478"
"1986-07-01","-0.117"," 0.125","-0.038","-0.072"," 0.066"," 0.018"," 0.049","-0.105","-0.096","-0.076","-0.022","-0.063","-0.092","-0.078","-0.036","-0.048","0.00458"
"1986-08-01"," 0.082"," 0.061","-0.040"," 0.167"," 0.105"," 0.018"," 0.003"," 0.111"," 0.055"," 0.049"," 0.173"," 0.022"," 0.130"," 0.018"," 0.135"," 0.122","0.00343"
"1986-09-01","-0.111","-0.139"," 0.021","-0.240","-0.110"," 0.026","-0.088"," 0.037","-0.031","-0.047"," 0.053","-0.065","-0.179","-0.108"," 0.026","-0.058","0.00416"
"1986-10-01"," 0.040"," 0.045"," 0.000"," 0.105"," 0.103"," 0.134"," 0.123","-0.069","-0.081"," 0.018"," 0.020"," 0.023"," 0.172"," 0.242"," 0.043"," 0.135","0.00418"
"1986-11-01"," 0.010"," 0.070","-0.143"," 0.020"," 0.048","-0.018"," 0.011","-0.020"," 0.037"," 0.000"," 0.044"," 0.023","-0.080"," 0.094","-0.028"," 0.006","0.00420"
"1986-12-01"," 0.019","-0.046"," 0.028","-0.078"," 0.008","-0.010","-0.034","-0.060","-0.056","-0.005"," 0.019","-0.244","-0.029","-0.023"," 0.047","-0.041","0.00382"
"1987-01-01"," 0.087"," 0.040"," 0.093"," 0.135"," 0.385"," 0.161"," 0.123"," 0.057"," 0.073"," 0.148"," 0.093"," 0.353"," 0.030"," 0.130"," 0.049"," 0.270","0.00454"
"1987-02-01","-0.066","-0.067","-0.064"," 0.045"," 0.056"," 0.133"," 0.049"," 0.019"," 0.092"," 0.065","-0.022","-0.152","-0.014"," 0.174","-0.080"," 0.094","0.00437"
"1987-03-01","-0.052","-0.050","-0.087","-0.096"," 0.061","-0.129"," 0.010"," 0.040"," 0.076"," 0.037"," 0.124","-0.103","-0.029","-0.118"," 0.103"," 0.089","0.00423"
"1987-04-01"," 0.070"," 0.020","-0.025","-0.020"," 0.055","-0.121","-0.104","-0.063"," 0.067","-0.025","-0.007"," 0.114","-0.182","-0.119","-0.094","-0.027","0.00207"
"1987-05-01"," 0.052","-0.012"," 0.000"," 0.161","-0.082"," 0.151"," 0.190"," 0.138"," 0.006"," 0.004","-0.003"," 0.000","-0.093","-0.026"," 0.114","-0.107","0.00438"
"1987-06-01"," 0.051"," 0.059"," 0.081","-0.145"," 0.041"," 0.014"," 0.030"," 0.005"," 0.016"," 0.038"," 0.091"," 0.103","-0.245"," 0.045"," 0.073"," 0.026","0.00402"
"1987-07-01"," 0.041","-0.039"," 0.071"," 0.057"," 0.000"," 0.043"," 0.036"," 0.232","-0.009"," 0.055"," 0.032"," 0.000","-0.081"," 0.087"," 0.142"," 0.021","0.00455"
"1987-08-01"," 0.033"," 0.043","-0.044","-0.008"," 0.157","-0.037"," 0.022","-0.113"," 0.053"," 0.015"," 0.030","-0.093"," 0.147"," 0.027","-0.076"," 0.081","0.00460"
"1987-09-01","-0.086","-0.006"," 0.004"," 0.015"," 0.001","-0.067","-0.009","-0.061","-0.105","-0.015","-0.082","-0.051","-0.256"," 0.088","-0.053","-0.054","0.00520"
"1987-10-01","-0.282","-0.017","-0.372","-0.342","-0.281","-0.260","-0.148","-0.288","-0.187","-0.260","-0.178","-0.270","-0.034","-0.246","-0.194","-0.271","0.00358"
"1987-11-01","-0.136","-0.012","-0.148","-0.075","-0.127","-0.137","-0.102","-0.085","-0.087","-0.070","-0.150"," 0.185"," 0.143","-0.190","-0.031","-0.066","0.00288"
"1987-12-01"," 0.064","-0.006"," 0.050"," 0.181"," 0.134"," 0.121"," 0.128"," 0.070"," 0.043"," 0.073"," 0.159","-0.313","-0.375"," 0.040"," 0.178"," 0.103","0.00277"
