"X.Y..m..d","M.1","M.2","M.3","M.4","M.5","M.6","M.7","M.8","M.9","M.10","M.11","M.12","M.13","M.14","M.15","M.16","M.17","M.18","M.19","M.20","M.21","M.22","M.23","M.24","M.25","M.26","M.27","M.28","M.29","M.30","M.31","M.32","M.33","M.34","M.35","M.36","M.37","M.38","M.39","M.40","M.41","M.42","M.43","M.44","M.45","M.46","M.47","M.48","M.49","M.50","M.51","M.52","M.53","M.54","M.55"
"1988-05-01","0.06083","0.06406","0.06630","0.06794","0.06935","0.07066","0.07185","0.07288","0.07376","0.07450","0.07515","0.07575","0.07632","0.07688","0.07745","0.07800","0.07853","0.07902","0.08018","0.08084","0.08175","0.08299","0.08483","0.08627","0.08806","0.08938","0.09039","0.09125","0.09200","0.09265","0.09321","0.09370","0.09413","0.09451","0.09486","0.09517","0.09541","0.09557","0.09562","0.09554","0.09531","0.09492","0.09435","0.09360","0.09265","0.09152","0.09023","0.08879",NA,NA,NA,NA,NA,NA,NA
"1988-06-01","0.06128","0.06517","0.06710","0.06784","0.06854","0.06953","0.07061","0.07163","0.07252","0.07324","0.07384","0.07437","0.07487","0.07538","0.07589","0.07640","0.07689","0.07734","0.07838","0.07890","0.07957","0.08056","0.08192","0.08321","0.08484","0.08591","0.08673","0.08748","0.08819","0.08884","0.08945","0.09001","0.09052","0.09100","0.09143","0.09179","0.09208","0.09227","0.09233","0.09225","0.09201","0.09157","0.09094","0.09009","0.08903","0.08775","0.08627","0.08461",NA,NA,NA,NA,NA,NA,NA
"1988-07-01","0.06524","0.06853","0.07041","0.07148","0.07239","0.07336","0.07432","0.07522","0.07603","0.07674","0.07739","0.07800","0.07859","0.07915","0.07970","0.08023","0.08073","0.08118","0.08219","0.08271","0.08328","0.08392","0.08497","0.08625","0.08780","0.08895","0.08985","0.09061","0.09125","0.09180","0.09228","0.09270","0.09307","0.09343","0.09378","0.09412","0.09441","0.09464","0.09478","0.09482","0.09473","0.09449","0.09408","0.09348","0.09268","0.09168","0.09048","0.08909",NA,NA,NA,NA,NA,NA,NA
"1988-08-01","0.07544","0.07326","0.07368","0.07535","0.07693","0.07805","0.07887","0.07955","0.08017","0.08078","0.08136","0.08192","0.08245","0.08296","0.08344","0.08388","0.08427","0.08462","0.08533","0.08559","0.08587","0.08645","0.08747","0.08834","0.08928","0.09009","0.09075","0.09129","0.09173","0.09208","0.09237","0.09262","0.09284","0.09308","0.09333","0.09360","0.09385","0.09406","0.09422","0.09430","0.09428","0.09413","0.09385","0.09341","0.09280","0.09201","0.09103","0.08987",NA,NA,NA,NA,NA,NA,NA
"1988-09-01","0.07073","0.07293","0.07447","0.07561","0.07656","0.07739","0.07810","0.07870","0.07919","0.07961","0.07998","0.08034","0.08069","0.08105","0.08141","0.08176","0.08207","0.08233","0.08276","0.08279","0.08287","0.08343","0.08421","0.08496","0.08587","0.08656","0.08715","0.08770","0.08822","0.08869","0.08913","0.08953","0.08992","0.09028","0.09062","0.09093","0.09119","0.09138","0.09148","0.09148","0.09136","0.09111","0.09071","0.09015","0.08943","0.08855","0.08752","0.08635",NA,NA,NA,NA,NA,NA,NA
"1988-10-01","0.06957","0.07319","0.07499","0.07590","0.07657","0.07720","0.07777","0.07822","0.07854","0.07879","0.07899","0.07919","0.07941","0.07966","0.07992","0.08018","0.08041","0.08060","0.08089","0.08080","0.08064","0.08103","0.08181","0.08256","0.08340","0.08413","0.08478","0.08536","0.08590","0.08638","0.08681","0.08720","0.08753","0.08782","0.08807","0.08826","0.08838","0.08842","0.08837","0.08824","0.08800","0.08767","0.08725","0.08673","0.08614","0.08550","0.08481","0.08412",NA,NA,NA,NA,NA,NA,NA
"1988-11-01","0.07084","0.07716","0.08013","0.08116","0.08173","0.08235","0.08300","0.08358","0.08403","0.08438","0.08467","0.08492","0.08517","0.08543","0.08570","0.08598","0.08624","0.08646","0.08677","0.08658","0.08614","0.08666","0.08739","0.08762","0.08813","0.08852","0.08884","0.08914","0.08941","0.08964","0.08985","0.09003","0.09019","0.09034","0.09048","0.09061","0.09071","0.09076","0.09075","0.09067","0.09052","0.09028","0.08996","0.08955","0.08907","0.08851","0.08789","0.08724",NA,NA,NA,NA,NA,NA,NA
"1988-12-01","0.07196","0.07924","0.08281","0.08391","0.08457","0.08547","0.08644","0.08730","0.08794","0.08833","0.08857","0.08873","0.08889","0.08907","0.08927","0.08949","0.08968","0.08983","0.08990","0.08951","0.08893","0.08952","0.08986","0.08989","0.09032","0.09022","0.08995","0.08975","0.08960","0.08948","0.08937","0.08927","0.08918","0.08910","0.08904","0.08898","0.08890","0.08880","0.08867","0.08850","0.08829","0.08803","0.08773","0.08739","0.08702","0.08663","0.08624","0.08587",NA,NA,NA,NA,NA,NA,NA
"1989-01-01","0.08066","0.08346","0.08506","0.08592","0.08647","0.08688","0.08722","0.08754","0.08786","0.08818","0.08849","0.08879","0.08908","0.08935","0.08959","0.08979","0.08994","0.09004","0.08991","0.08929","0.08842","0.08900","0.08937","0.08899","0.08886","0.08857","0.08828","0.08808","0.08793","0.08780","0.08769","0.08759","0.08751","0.08744","0.08739","0.08734","0.08728","0.08720","0.08709","0.08694","0.08674","0.08649","0.08619","0.08584","0.08543","0.08499","0.08451","0.08400",NA,NA,NA,NA,NA,NA,NA
"1989-02-01","0.08075","0.08664","0.08894","0.08918","0.08917","0.08956","0.09019","0.09088","0.09150","0.09203","0.09246","0.09283","0.09313","0.09338","0.09357","0.09371","0.09381","0.09385","0.09371","0.09322","0.09242","0.09266","0.09270","0.09225","0.09214","0.09169","0.09116","0.09078","0.09056","0.09044","0.09040","0.09039","0.09041","0.09044","0.09046","0.09046","0.09043","0.09035","0.09021","0.09001","0.08974","0.08940","0.08899","0.08851","0.08797","0.08739","0.08679","0.08619",NA,NA,NA,NA,NA,NA,NA
"1989-03-01","0.09043","0.08991","0.09053","0.09158","0.09238","0.09279","0.09305","0.09329","0.09360","0.09402","0.09447","0.09490","0.09526","0.09552","0.09569","0.09576","0.09577","0.09571","0.09524","0.09454","0.09368","0.09417","0.09391","0.09282","0.09229","0.09160","0.09089","0.09036","0.09000","0.08977","0.08961","0.08952","0.08948","0.08946","0.08947","0.08948","0.08948","0.08945","0.08939","0.08928","0.08911","0.08887","0.08857","0.08820","0.08776","0.08725","0.08669","0.08609",NA,NA,NA,NA,NA,NA,NA
"1989-04-01","0.08630","0.08613","0.08650","0.08714","0.08771","0.08814","0.08850","0.08885","0.08922","0.08962","0.09001","0.09038","0.09070","0.09096","0.09115","0.09128","0.09136","0.09138","0.09120","0.09076","0.09007","0.09019","0.08992","0.08954","0.08955","0.08924","0.08887","0.08863","0.08854","0.08852","0.08857","0.08864","0.08872","0.08880","0.08885","0.08887","0.08885","0.08877","0.08862","0.08841","0.08812","0.08776","0.08733","0.08684","0.08629","0.08572","0.08514","0.08458",NA,NA,NA,NA,NA,NA,NA
"1989-05-01","0.08519","0.08716","0.08769","0.08743","0.08702","0.08670","0.08651","0.08648","0.08662","0.08689","0.08718","0.08746","0.08767","0.08778","0.08777","0.08766","0.08747","0.08725","0.08655","0.08605","0.08573","0.08608","0.08601","0.08555","0.08535","0.08504","0.08476","0.08465","0.08470","0.08486","0.08509","0.08534","0.08558","0.08579","0.08595","0.08605","0.08607","0.08602","0.08590","0.08569","0.08540","0.08503","0.08460","0.08411","0.08359","0.08305","0.08253","0.08205",NA,NA,NA,NA,NA,NA,NA
"1989-06-01","0.08254","0.08203","0.08157","0.08116","0.08076","0.08038","0.08008","0.07991","0.07990","0.08005","0.08027","0.08050","0.08067","0.08076","0.08074","0.08063","0.08046","0.08026","0.07957","0.07899","0.07867","0.07928","0.07961","0.07955","0.07985","0.07997","0.08001","0.08008","0.08019","0.08030","0.08042","0.08053","0.08063","0.08071","0.08076","0.08077","0.08074","0.08066","0.08052","0.08031","0.08003","0.07968","0.07927","0.07879","0.07824","0.07765","0.07701","0.07636",NA,NA,NA,NA,NA,NA,NA
"1989-07-01","0.07934","0.07966","0.07902","0.07798","0.07704","0.07635","0.07591","0.07569","0.07567","0.07585","0.07610","0.07633","0.07647","0.07646","0.07627","0.07595","0.07555","0.07513","0.07408","0.07372","0.07410","0.07463","0.07454","0.07479","0.07566","0.07629","0.07680","0.07732","0.07785","0.07838","0.07887","0.07933","0.07971","0.08001","0.08021","0.08031","0.08031","0.08022","0.08004","0.07977","0.07943","0.07902","0.07855","0.07806","0.07755","0.07707","0.07664","0.07630",NA,NA,NA,NA,NA,NA,NA
"1989-08-01","0.07501","0.08000","0.08133","0.08085","0.08038","0.08049","0.08096","0.08148","0.08187","0.08213","0.08229","0.08237","0.08241","0.08242","0.08241","0.08239","0.08236","0.08232","0.08215","0.08196","0.08190","0.08235","0.08207","0.08173","0.08191","0.08178","0.08157","0.08149","0.08156","0.08172","0.08195","0.08221","0.08246","0.08270","0.08289","0.08302","0.08310","0.08310","0.08302","0.08286","0.08261","0.08226","0.08182","0.08128","0.08064","0.07992","0.07911","0.07825",NA,NA,NA,NA,NA,NA,NA
"1989-09-01","0.07588","0.08014","0.08139","0.08117","0.08115","0.08178","0.08262","0.08333","0.08372","0.08380","0.08370","0.08352","0.08332","0.08315","0.08302","0.08292","0.08284","0.08278","0.08261","0.08247","0.08259","0.08323","0.08279","0.08242","0.08274","0.08254","0.08217","0.08194","0.08193","0.08206","0.08228","0.08254","0.08282","0.08307","0.08327","0.08341","0.08348","0.08348","0.08339","0.08322","0.08295","0.08259","0.08212","0.08156","0.08092","0.08018","0.07938","0.07853",NA,NA,NA,NA,NA,NA,NA
"1989-10-01","0.07842","0.07954","0.07936","0.07867","0.07812","0.07787","0.07782","0.07784","0.07789","0.07794","0.07796","0.07797","0.07795","0.07791","0.07784","0.07776","0.07766","0.07757","0.07731","0.07716","0.07732","0.07785","0.07760","0.07770","0.07824","0.07837","0.07837","0.07846","0.07867","0.07893","0.07923","0.07954","0.07981","0.08004","0.08020","0.08029","0.08030","0.08024","0.08009","0.07986","0.07955","0.07916","0.07870","0.07818","0.07761","0.07701","0.07639","0.07580",NA,NA,NA,NA,NA,NA,NA
"1989-11-01","0.07938","0.07800","0.07745","0.07729","0.07705","0.07656","0.07598","0.07553","0.07536","0.07549","0.07579","0.07613","0.07642","0.07660","0.07661","0.07650","0.07632","0.07611","0.07566","0.07574","0.07644","0.07678","0.07669","0.07694","0.07736","0.07755","0.07768","0.07789","0.07820","0.07858","0.07897","0.07936","0.07970","0.07998","0.08017","0.08027","0.08028","0.08020","0.08002","0.07975","0.07940","0.07896","0.07845","0.07789","0.07728","0.07665","0.07603","0.07545",NA,NA,NA,NA,NA,NA,NA
"1989-12-01","0.06651","0.07507","0.07789","0.07784","0.07731","0.07700","0.07687","0.07687","0.07696","0.07711","0.07728","0.07742","0.07754","0.07760","0.07762","0.07761","0.07757","0.07752","0.07737","0.07728","0.07758","0.07819","0.07747","0.07787","0.07867","0.07883","0.07880","0.07889","0.07915","0.07949","0.07988","0.08028","0.08063","0.08090","0.08107","0.08115","0.08113","0.08101","0.08079","0.08047","0.08006","0.07957","0.07901","0.07839","0.07774","0.07708","0.07645","0.07586",NA,NA,NA,NA,NA,NA,NA
"1990-01-01","0.07627","0.07843","0.07901","0.07890","0.07893","0.07930","0.07975","0.08007","0.08017","0.08013","0.08004","0.07998","0.08000","0.08011","0.08030","0.08052","0.08075","0.08098","0.08145","0.08159","0.08171","0.08199","0.08238","0.08246","0.08251","0.08264","0.08286","0.08319","0.08359","0.08402","0.08446","0.08486","0.08522","0.08549","0.08567","0.08575","0.08573","0.08560","0.08537","0.08504","0.08461","0.08409","0.08350","0.08286","0.08218","0.08150","0.08084","0.08025",NA,NA,NA,NA,NA,NA,NA
"1990-02-01","0.07740","0.07922","0.07977","0.07962","0.07946","0.07951","0.07965","0.07980","0.07990","0.07995","0.08000","0.08009","0.08024","0.08047","0.08077","0.08112","0.08147","0.08180","0.08253","0.08273","0.08271","0.08307","0.08362","0.08392","0.08408","0.08411","0.08414","0.08429","0.08459","0.08498","0.08542","0.08587","0.08628","0.08661","0.08684","0.08696","0.08697","0.08686","0.08662","0.08627","0.08580","0.08522","0.08456","0.08382","0.08304","0.08224","0.08146","0.08074",NA,NA,NA,NA,NA,NA,NA
"1990-03-01","0.08083","0.07987","0.07983","0.08022","0.08055","0.08071","0.08080","0.08092","0.08114","0.08146","0.08184","0.08224","0.08266","0.08307","0.08345","0.08381","0.08413","0.08441","0.08494","0.08502","0.08494","0.08524","0.08547","0.08550","0.08545","0.08530","0.08521","0.08527","0.08549","0.08581","0.08619","0.08659","0.08697","0.08729","0.08754","0.08770","0.08776","0.08772","0.08757","0.08730","0.08691","0.08640","0.08578","0.08505","0.08423","0.08334","0.08241","0.08146",NA,NA,NA,NA,NA,NA,NA
"1990-04-01","0.07666","0.07840","0.07988","0.08103","0.08176","0.08214","0.08241","0.08270","0.08311","0.08361","0.08416","0.08471","0.08525","0.08575","0.08620","0.08660","0.08696","0.08726","0.08785","0.08808","0.08824","0.08857","0.08890","0.08906","0.08913","0.08906","0.08901","0.08906","0.08924","0.08950","0.08980","0.09011","0.09040","0.09066","0.09086","0.09099","0.09104","0.09101","0.09088","0.09065","0.09030","0.08985","0.08930","0.08864","0.08789","0.08708","0.08621","0.08532",NA,NA,NA,NA,NA,NA,NA
"1990-05-01","0.07652","0.07842","0.07938","0.07972","0.07978","0.07969","0.07962","0.07964","0.07983","0.08015","0.08054","0.08094","0.08135","0.08171","0.08203","0.08229","0.08251","0.08269","0.08306","0.08327","0.08355","0.08394","0.08454","0.08483","0.08492","0.08488","0.08483","0.08487","0.08506","0.08535","0.08571","0.08608","0.08643","0.08672","0.08693","0.08706","0.08709","0.08701","0.08683","0.08653","0.08613","0.08562","0.08502","0.08433","0.08359","0.08280","0.08201","0.08124",NA,NA,NA,NA,NA,NA,NA
"1990-06-01","0.07613","0.07845","0.07925","0.07919","0.07894","0.07876","0.07867","0.07868","0.07880","0.07903","0.07932","0.07963","0.07993","0.08019","0.08040","0.08055","0.08067","0.08075","0.08092","0.08107","0.08141","0.08177","0.08230","0.08284","0.08320","0.08331","0.08333","0.08340","0.08359","0.08385","0.08416","0.08448","0.08478","0.08502","0.08520","0.08529","0.08530","0.08522","0.08504","0.08477","0.08439","0.08391","0.08335","0.08271","0.08201","0.08127","0.08051","0.07977",NA,NA,NA,NA,NA,NA,NA
"1990-07-01","0.07596","0.07633","0.07636","0.07621","0.07597","0.07573","0.07555","0.07548","0.07557","0.07580","0.07610","0.07641","0.07672","0.07698","0.07718","0.07734","0.07746","0.07757","0.07780","0.07801","0.07843","0.07886","0.07971","0.08054","0.08121","0.08172","0.08215","0.08259","0.08306","0.08354","0.08400","0.08444","0.08481","0.08511","0.08533","0.08546","0.08549","0.08543","0.08526","0.08499","0.08462","0.08416","0.08362","0.08302","0.08238","0.08173","0.08109","0.08050",NA,NA,NA,NA,NA,NA,NA
"1990-08-01","0.07537","0.07511","0.07526","0.07559","0.07581","0.07584","0.07582","0.07587","0.07604","0.07640","0.07687","0.07740","0.07791","0.07836","0.07873","0.07902","0.07923","0.07940","0.07976","0.08005","0.08071","0.08159","0.08332","0.08467","0.08565","0.08638","0.08699","0.08760","0.08827","0.08898","0.08971","0.09040","0.09104","0.09157","0.09198","0.09224","0.09236","0.09233","0.09215","0.09181","0.09132","0.09069","0.08994","0.08911","0.08821","0.08731","0.08644","0.08567",NA,NA,NA,NA,NA,NA,NA
"1990-09-01","0.06959","0.07250","0.07368","0.07383","0.07389","0.07415","0.07455","0.07499","0.07544","0.07586","0.07626","0.07663","0.07698","0.07731","0.07761","0.07788","0.07813","0.07836","0.07885","0.07910","0.07964","0.08066","0.08253","0.08405","0.08525","0.08606","0.08668","0.08726","0.08787","0.08851","0.08916","0.08977","0.09032","0.09079","0.09114","0.09138","0.09149","0.09147","0.09131","0.09102","0.09060","0.09006","0.08942","0.08870","0.08794","0.08717","0.08644","0.08582",NA,NA,NA,NA,NA,NA,NA
"1990-10-01","0.06709","0.07179","0.07298","0.07269","0.07244","0.07263","0.07297","0.07323","0.07331","0.07332","0.07337","0.07352","0.07384","0.07430","0.07481","0.07532","0.07576","0.07610","0.07643","0.07640","0.07730","0.07847","0.08015","0.08178","0.08312","0.08416","0.08501","0.08576","0.08645","0.08713","0.08776","0.08834","0.08886","0.08930","0.08963","0.08986","0.08997","0.08996","0.08981","0.08954","0.08914","0.08862","0.08799","0.08727","0.08648","0.08566","0.08485","0.08408",NA,NA,NA,NA,NA,NA,NA
"1990-11-01","0.06659","0.07005","0.07178","0.07238","0.07254","0.07251","0.07243","0.07235","0.07233","0.07239","0.07251","0.07269","0.07295","0.07327","0.07363","0.07398","0.07430","0.07458","0.07499","0.07501","0.07526","0.07619","0.07790","0.07873","0.08029","0.08148","0.08219","0.08269","0.08316","0.08370","0.08428","0.08485","0.08539","0.08585","0.08621","0.08646","0.08660","0.08662","0.08652","0.08630","0.08595","0.08549","0.08493","0.08428","0.08357","0.08281","0.08206","0.08134",NA,NA,NA,NA,NA,NA,NA
"1990-12-01","0.05867","0.06413","0.06621","0.06644","0.06635","0.06641","0.06659","0.06687","0.06721","0.06760","0.06801","0.06842","0.06884","0.06924","0.06963","0.06998","0.07028","0.07054","0.07099","0.07122","0.07208","0.07334","0.07507","0.07651","0.07842","0.07963","0.08023","0.08060","0.08103","0.08162","0.08230","0.08302","0.08371","0.08429","0.08473","0.08502","0.08516","0.08515","0.08499","0.08469","0.08425","0.08369","0.08303","0.08229","0.08150","0.08069","0.07992","0.07923",NA,NA,NA,NA,NA,NA,NA
"1991-01-01","0.05953","0.06208","0.06308","0.06326","0.06331","0.06345","0.06367","0.06391","0.06417","0.06447","0.06484","0.06531","0.06591","0.06659","0.06728","0.06794","0.06852","0.06899","0.06961","0.06976","0.07069","0.07199","0.07422","0.07597","0.07745","0.07854","0.07934","0.08002","0.08069","0.08140","0.08210","0.08277","0.08337","0.08386","0.08423","0.08447","0.08457","0.08454","0.08438","0.08409","0.08368","0.08315","0.08253","0.08184","0.08111","0.08036","0.07964","0.07898",NA,NA,NA,NA,NA,NA,NA
"1991-02-01","0.05677","0.05997","0.06178","0.06225","0.06206","0.06186","0.06188","0.06208","0.06244","0.06294","0.06358","0.06431","0.06508","0.06583","0.06653","0.06714","0.06765","0.06806","0.06892","0.06954","0.07066","0.07189","0.07430","0.07623","0.07765","0.07863","0.07936","0.08001","0.08069","0.08142","0.08216","0.08287","0.08352","0.08407","0.08450","0.08479","0.08495","0.08498","0.08486","0.08460","0.08420","0.08366","0.08301","0.08224","0.08140","0.08049","0.07956","0.07863",NA,NA,NA,NA,NA,NA,NA
