"X.Y..m..d","Open","High","Low","Close","Volume"
"2000-09-27","63.4375","63.5625","59.8125","60.6250"," 53077800"
"2000-09-28","60.8125","61.8750","60.6250","61.3125"," 26180200"
"2000-09-29","61.0000","61.3125","58.6250","60.3125"," 37026800"
"2000-10-02","60.5000","60.8125","58.2500","59.1250"," 29281200"
"2000-10-03","59.5625","59.8125","56.5000","56.5625"," 42687000"
"2000-10-04","56.3750","56.5625","54.5000","55.4375"," 68226700"
"2000-10-05","55.5000","57.2500","55.2500","55.3750"," 40549700"
"2000-10-06","55.8125","56.7500","54.7500","55.5625"," 30897000"
"2000-10-09","55.6250","55.7500","53.0000","54.1875"," 29161800"
"2000-10-10","53.9375","55.5625","53.8125","54.5625"," 31033100"
"2000-10-11","54.0000","56.9375","54.0000","55.7500"," 50602900"
"2000-10-12","56.3125","56.8750","53.8125","54.3750"," 45109800"
"2000-10-13","53.8750","54.8750","52.1250","53.7500"," 52260600"
"2000-10-16","53.5000","53.8125","49.5625","50.3750"," 59879500"
"2000-10-17","51.8750","52.4375","50.2500","50.4375"," 40638300"
"2000-10-18","49.6250","53.2500","48.4375","51.7500"," 55268200"
"2000-10-19","58.4375","62.1875","58.0000","61.8750","128496600"
"2000-10-20","61.3125","66.1250","61.1250","65.1875"," 80189300"
"2000-10-23","64.6250","66.2500","60.6875","62.1250"," 92585200"
"2000-10-24","62.6250","62.9375","60.1875","61.5000"," 47213700"
"2000-10-25","61.9375","63.4375","60.4375","61.2500"," 83801900"
"2000-10-26","61.0000","65.0625","60.8125","64.4375"," 57413300"
"2000-10-27","64.6875","69.1875","64.6250","67.6875"," 62146200"
"2000-10-30","67.5000","70.1250","67.3750","69.0625"," 55028800"
"2000-10-31","69.0000","69.5000","68.0000","68.8750"," 52237000"
"2000-11-01","68.5000","70.0625","68.4375","69.6250"," 40654700"
"2000-11-02","70.3750","70.8438","69.6250","70.3125"," 38992600"
"2000-11-03","69.2500","69.6250","68.0625","68.2500"," 34355500"
"2000-11-06","68.6875","70.1250","68.2500","69.5000"," 37425700"
"2000-11-07","69.7500","71.8750","69.5000","70.5000"," 52165600"
"2000-11-08","71.1250","72.3750","68.0000","69.4375","103074700"
"2000-11-09","68.5000","71.3125","68.4375","70.8750"," 45529300"
"2000-11-10","69.9375","70.3125","66.8125","67.3750"," 46872200"
"2000-11-13","66.6875","68.1250","64.4062","66.4375"," 41682400"
"2000-11-14","68.0000","69.8125","67.3125","68.8125"," 42109300"
"2000-11-15","69.0625","70.8750","68.6875","70.0625"," 30211100"
"2000-11-16","69.4375","71.5000","68.9375","68.9375"," 46064300"
"2000-11-17","69.4375","70.0000","67.7969","69.0625"," 53262800"
"2000-11-20","68.1250","68.5000","65.5625","67.1875"," 40078600"
"2000-11-21","67.3750","69.2500","67.3750","67.7500"," 29743800"
"2000-11-22","66.0625","69.5000","66.0000","68.2500"," 38171600"
"2000-11-24","69.0000","70.4375","68.5000","69.9375"," 17219600"
"2000-11-27","71.4375","72.2500","70.6250","70.6875"," 42653800"
"2000-11-28","69.3750","69.7500","66.8125","67.0000"," 63723100"
"2000-11-29","66.8125","67.1250","63.2500","65.0625"," 49140200"
"2000-11-30","62.0000","62.0625","57.0000","57.3750"," 98600400"
"2000-12-01","58.0625","60.6250","56.0625","56.6250"," 54904900"
"2000-12-04","57.2500","59.0000","55.1875","56.4375"," 40203600"
"2000-12-05","59.1875","60.5000","58.2500","59.8750"," 50867200"
"2000-12-06","60.0000","60.0625","56.0625","56.6875"," 45280400"
"2000-12-07","53.4375","54.0000","52.2500","53.1250"," 72654200"
"2000-12-08","54.6250","55.8750","53.4375","54.4375"," 60469900"
"2000-12-11","55.5000","58.7500","55.0000","58.0625"," 47788100"
"2000-12-12","57.8125","60.0000","56.7500","58.3750"," 31553000"
"2000-12-13","60.5000","60.5000","56.8125","57.2500"," 49180200"
"2000-12-14","57.9375","58.7344","55.3750","55.5000"," 35600700"
"2000-12-15","51.0469","52.0000","47.7500","49.1875"," 58449900"
"2000-12-18","49.0000","50.0000","47.0000","47.8125"," 53593700"
"2000-12-19","47.4375","48.0000","44.5000","44.8125"," 60135900"
"2000-12-20","42.8125","44.0000","41.3750","41.5000"," 74518900"
"2000-12-21","40.7500","45.1250","40.3125","43.4375"," 81586500"
"2000-12-22","44.7500","47.1250","44.7500","46.4375"," 54775900"
"2000-12-26","46.8750","48.5625","45.8750","46.8750"," 33470800"
"2000-12-27","46.1250","46.8125","45.0000","46.4375"," 34501900"
"2000-12-28","45.1250","46.2500","43.8750","44.5625"," 38809600"
"2000-12-29","43.9375","45.8125","43.0000","43.3750"," 49988800"
"2001-01-02","44.1250","45.0000","42.8750","43.3750"," 41206600"
"2001-01-03","43.1875","48.8750","43.1250","47.9375"," 67981100"
"2001-01-04","47.8125","50.5000","46.8750","48.4375"," 56198500"
"2001-01-05","48.5000","49.8750","47.5625","49.1250"," 46707300"
"2001-01-08","48.9375","49.7500","46.6875","48.9375"," 39908800"
"2001-01-09","50.0000","52.6250","49.7500","51.8125"," 57482700"
"2001-01-10","51.0000","53.8125","50.7500","52.8750"," 45115100"
"2001-01-11","53.0000","55.7500","52.3125","55.0000"," 50927400"
"2001-01-12","54.8750","55.0000","52.5000","53.5000"," 36856000"
"2001-01-16","53.3750","53.5000","51.1250","52.5625"," 34231200"
"2001-01-17","53.6250","54.8750","52.5625","52.9375"," 36422100"
"2001-01-18","53.6875","56.1875","52.6250","55.5000"," 54894400"
"2001-01-19","60.0000","61.4375","58.8750","61.0000","104674400"
"2001-01-22","60.7500","61.0000","59.0000","60.1250"," 38336500"
"2001-01-23","59.7500","60.9375","58.9375","60.5625"," 35147600"
"2001-01-24","61.0000","63.4375","60.7500","62.9375"," 55227500"
"2001-01-25","62.7500","64.0000","61.5625","61.8125"," 42828700"
"2001-01-26","61.0000","64.3125","61.0000","64.0000"," 46540000"
"2001-01-29","63.5625","64.6250","63.5000","64.5000"," 42491900"
"2001-01-30","64.5000","64.7500","62.8750","63.3750"," 28638400"
"2001-01-31","63.0000","63.7500","61.0000","61.0625"," 40949400"
"2001-02-01","60.8125","62.6250","60.3750","62.3750"," 35896400"
"2001-02-02","62.5000","63.3750","60.7500","60.8125"," 35550000"
"2001-02-05","60.7500","62.0625","60.2500","61.9375"," 25699600"
"2001-02-06","62.0625","63.8125","61.6875","62.5625"," 48221000"
"2001-02-07","62.0000","65.0625","61.8125","64.6875"," 63030900"
"2001-02-08","63.7500","64.5000","62.0000","62.2500"," 44020600"
"2001-02-09","61.3125","61.5625","58.5000","59.1250"," 50287600"
"2001-02-12","58.8125","59.4375","57.1875","58.7500"," 35644700"
"2001-02-13","59.6250","61.0625","58.1250","58.1875"," 38035300"
"2001-02-14","57.6250","59.0000","56.3750","58.3750"," 30864200"
"2001-02-15","59.0000","60.1875","57.8750","58.8125"," 32813900"
"2001-02-16","57.0000","58.2500","56.1250","57.3125"," 33479200"
"2001-02-20","57.3750","58.2500","55.3750","55.8750"," 30365400"
"2001-02-21","55.2500","58.0625","55.1875","56.2500"," 31973600"
"2001-02-22","56.3125","56.8125","53.8750","55.1875"," 50408200"
"2001-02-23","54.4375","57.5000","54.3125","56.7500"," 46310300"
"2001-02-26","57.6250","59.9375","57.3750","59.5625"," 43968400"
"2001-02-27","59.3750","61.1875","58.6719","59.3750"," 49574300"
"2001-02-28","59.5625","60.0781","58.1875","59.0000"," 42304200"
"2001-03-01","58.5625","59.5000","56.2500","59.3594"," 40890800"
"2001-03-02","57.5000","58.1250","56.4375","56.6875"," 39900400"
"2001-03-05","57.2500","58.6250","56.5625","57.4375"," 24691800"
"2001-03-06","58.6250","60.0000","58.3750","59.4375"," 33390900"
"2001-03-07","59.8750","61.1250","59.3125","60.6875"," 29871800"
"2001-03-08","60.3125","60.5938","58.4375","59.2500"," 27313000"
"2001-03-09","57.9375","58.1875","54.8750","56.6875"," 51897200"
"2001-03-12","54.6875","55.0000","51.6250","51.9375"," 57188000"
"2001-03-13","52.1875","54.7500","52.0000","54.1875"," 45517800"
"2001-03-14","52.5000","55.2500","52.1875","54.0000"," 45343100"
"2001-03-15","55.3125","56.0781","53.5000","53.6875"," 35819200"
"2001-03-16","52.5000","55.1250","52.4844","54.5625"," 56424400"
"2001-03-19","54.5000","55.5000","53.1250","54.3125"," 30518200"
"2001-03-20","54.5625","56.1250","52.6250","52.6875"," 45911400"
"2001-03-21","52.2500","53.2500","49.7500","50.0625"," 62494300"
"2001-03-22","50.5625","54.0625","50.5000","54.0000"," 63181600"
"2001-03-23","54.9375","57.0000","54.3750","56.5625"," 49759800"
"2001-03-26","57.1250","57.5000","55.5625","56.0625"," 31559300"
"2001-03-27","56.0625","58.5625","55.8750","58.2500"," 47567800"
"2001-03-28","57.3750","57.9375","55.3750","55.5625"," 39340800"
"2001-03-29","55.3750","57.1875","54.5625","55.3750"," 43492500"
"2001-03-30","55.7500","56.1875","53.8750","54.6875"," 45600800"
"2001-04-02","54.8125","56.9375","54.6250","55.8125"," 37962000"
"2001-04-03","55.3125","55.3125","52.7500","53.3750"," 47093800"
"2001-04-04","53.3750","55.0000","51.0625","51.9375"," 52023300"
"2001-04-05","53.7500","57.3750","53.5000","56.7500"," 56682000"
"2001-04-06","56.3750","57.1875","55.0625","56.1875"," 46311000"
"2001-04-09","56.5700","57.4200","55.6600","57.1500"," 28147800"
"2001-04-10","57.9500","60.0900","57.7800","59.6800"," 54599700"
"2001-04-11","60.6500","61.5000","59.7000","60.0400"," 54939800"
"2001-04-12","59.5600","62.3100","59.3500","62.1800"," 43760000"
"2001-04-16","61.4000","61.5800","60.1200","60.7900"," 32928700"
"2001-04-17","60.5200","62.1100","60.0400","61.4800"," 42574600"
"2001-04-18","63.3900","66.3100","63.0000","65.4300"," 78348200"
"2001-04-19","65.8100","69.0000","65.7500","68.0400"," 79687800"
"2001-04-20","70.3000","71.1000","68.5000","69.0000"," 96459800"
"2001-04-23","68.1100","68.4700","66.9000","68.2500"," 46085600"
"2001-04-24","68.2000","69.9300","67.1400","67.5500"," 44588300"
"2001-04-25","67.5700","69.7900","67.2500","69.6900"," 38372000"
"2001-04-26","70.0700","71.0000","68.2500","69.1300"," 59368800"
"2001-04-27","69.5300","69.6800","66.2100","67.1200"," 60786200"
"2001-04-30","68.5300","69.0600","67.6800","67.7500"," 37184100"
"2001-05-01","67.6600","70.3000","67.6000","70.1700"," 41851400"
"2001-05-02","71.0000","71.1500","69.3500","69.7600"," 46432200"
"2001-05-03","69.2500","70.1800","68.1400","68.5300"," 33136700"
"2001-05-04","68.0000","71.0500","67.9600","70.7500"," 59769200"
"2001-05-07","70.8300","72.1500","70.7000","71.3800"," 54678100"
"2001-05-08","71.7500","72.1000","70.7500","72.0600"," 37542000"
"2001-05-09","71.2400","71.3000","69.8600","70.4000"," 38338300"
"2001-05-10","71.1300","71.2400","69.9600","70.0000"," 32167300"
"2001-05-11","69.9600","70.0000","68.6500","69.4000"," 25564400"
"2001-05-14","69.1300","69.2000","68.3000","68.7200"," 22484000"
"2001-05-15","68.7400","69.3000","68.0000","68.2700"," 30692800"
"2001-05-16","67.7000","69.8800","67.3300","69.1600"," 45946900"
"2001-05-17","69.1000","70.1400","67.5500","68.1700"," 53492400"
"2001-05-18","67.6900","69.2000","67.2500","68.0900"," 45302700"
"2001-05-21","68.0500","69.9900","67.7500","68.7900"," 51745800"
"2001-05-22","69.4500","70.3500","69.1800","70.3100"," 41727800"
"2001-05-23","70.3900","71.6000","69.5100","69.7000"," 46818700"
"2001-05-24","69.9400","71.7800","69.2700","71.7200"," 40390800"
"2001-05-25","71.6600","71.9000","70.3600","70.9100"," 26373800"
"2001-05-29","70.8000","71.7500","70.0500","70.3400"," 35605400"
"2001-05-30","69.5600","70.5800","68.6500","69.1900"," 43250900"
"2001-05-31","69.4900","70.3800","68.4000","69.1800"," 35341300"
"2001-06-01","69.6000","70.7000","68.7000","70.3400"," 28793800"
"2001-06-04","70.5500","71.0200","69.8000","70.7800"," 21868300"
"2001-06-05","70.7600","73.0800","70.5000","72.6000"," 44727100"
"2001-06-06","72.8900","73.4800","71.5500","72.3600"," 40011400"
"2001-06-07","72.1200","73.7300","72.0800","73.6800"," 33480000"
"2001-06-08","73.7000","73.7500","72.0500","73.1900"," 25933500"
"2001-06-11","72.8500","72.8500","71.5100","72.1200"," 23672800"
"2001-06-12","71.0200","72.4100","70.8100","72.0800"," 33357300"
"2001-06-13","72.0500","72.3000","70.6400","70.6900"," 27651200"
"2001-06-14","70.2200","70.5500","68.4000","68.9000"," 35986200"
"2001-06-15","67.5100","68.3000","66.4000","68.0200"," 54177200"
"2001-06-18","67.9500","67.9600","66.0100","66.8800"," 28423400"
"2001-06-19","68.2100","68.8500","66.8500","67.3200"," 31728700"
"2001-06-20","67.1400","69.5900","67.1000","69.4100"," 32054200"
"2001-06-21","69.1500","70.5500","68.9200","69.8400"," 34801900"
"2001-06-22","70.0000","70.6100","68.5800","68.8300"," 25546000"
"2001-06-25","69.1000","69.8100","67.7700","68.8500"," 24607800"
"2001-06-26","67.8200","70.2100","67.7000","70.1400"," 31538500"
"2001-06-27","69.8600","71.5300","69.3600","71.1400"," 34599900"
"2001-06-28","71.5500","76.1500","70.5300","72.7400"," 64487800"
"2001-06-29","72.6000","73.4100","71.4000","73.0000"," 47141900"
"2001-07-02","72.0500","73.1500","70.1500","70.6000"," 36405100"
"2001-07-03","70.3000","70.8000","69.9300","70.4700"," 14018700"
"2001-07-05","70.2200","70.7200","68.4400","68.5100"," 24621300"
"2001-07-06","68.3000","68.4000","65.6700","66.0600"," 33733900"
"2001-07-09","66.2000","66.9100","65.0400","65.6900"," 33238300"
"2001-07-10","65.9000","66.2500","64.3500","64.4800"," 33281300"
"2001-07-11","64.2100","66.7500","64.2000","66.5000"," 36911300"
"2001-07-12","70.7000","72.0500","70.3300","71.6000"," 64039000"
"2001-07-13","71.4000","72.0000","70.9400","71.3400"," 29467300"
"2001-07-16","71.4500","72.1600","70.1500","71.1800"," 27995400"
"2001-07-17","70.6600","72.0100","70.1400","71.8200"," 31620500"
"2001-07-18","70.6000","71.5000","69.8700","70.5700"," 28795400"
"2001-07-19","71.2200","73.0000","71.2200","72.5700"," 38274700"
"2001-07-20","68.0300","69.4000","67.9400","69.1800"," 62101800"
"2001-07-23","69.2400","69.2400","66.3500","67.0900"," 39999700"
"2001-07-24","67.0000","67.9900","65.7000","66.3200"," 33765100"
"2001-07-25","66.2600","67.5200","65.6100","67.4800"," 37032700"
"2001-07-26","67.1200","67.3200","65.5000","66.5900"," 38987000"
"2001-07-27","66.0500","66.2500","65.0500","65.4700"," 32698000"
"2001-07-30","65.6500","66.8800","65.5400","65.8000"," 21098200"
"2001-07-31","66.0100","67.3900","65.8500","66.1900"," 29515800"
"2001-08-01","66.8000","66.8100","65.7600","66.4700"," 27839500"
"2001-08-02","67.2100","67.5400","66.2600","67.4500"," 27099200"
"2001-08-03","67.3000","67.3600","66.0000","66.8900"," 21630200"
"2001-08-06","66.5300","67.1200","65.6800","66.1300"," 13915800"
"2001-08-07","66.0400","67.0500","65.9900","66.3500"," 15673900"
"2001-08-08","66.5100","67.2400","64.4900","64.8600"," 27498200"
"2001-08-09","64.9800","65.5500","64.3000","65.0100"," 22768100"
"2001-08-10","64.7700","65.8600","62.9000","65.5200"," 25878200"
"2001-08-13","65.2400","65.9900","64.7500","65.8300"," 16337700"
"2001-08-14","65.7500","66.0900","64.4500","64.6900"," 18240600"
"2001-08-15","64.7100","65.0500","63.2000","63.2000"," 19751500"
"2001-08-16","62.8400","64.7100","62.7000","64.6200"," 21952800"
"2001-08-17","63.7800","64.1300","61.5000","61.8800"," 26117100"
"2001-08-20","61.6600","62.7500","61.1000","62.7000"," 24185600"
"2001-08-21","62.7000","63.2000","60.7100","60.7800"," 23555900"
"2001-08-22","61.1300","61.1500","59.0800","60.6600"," 39053600"
"2001-08-23","60.6700","61.5300","59.0000","59.1200"," 25906600"
"2001-08-24","59.6000","62.2800","59.2300","62.0500"," 31699500"
"2001-08-27","61.9000","63.3600","61.5700","62.3100"," 22281400"
"2001-08-28","62.3400","62.9500","60.5800","60.7400"," 23711400"
"2001-08-29","61.0500","61.3000","59.5400","60.2500"," 24085000"
"2001-08-30","59.0400","59.6600","56.5200","56.9400"," 48816000"
"2001-08-31","56.8500","58.0600","56.3000","57.0500"," 28950400"
"2001-09-04","57.1900","59.0800","56.0700","56.1000"," 33594600"
"2001-09-05","56.1800","58.3900","55.3900","57.7400"," 44735300"
"2001-09-06","56.5600","58.3900","55.9000","56.0200"," 56178400"
"2001-09-07","56.1100","57.3600","55.3100","55.4000"," 44931900"
"2001-09-10","54.9200","57.9500","54.7000","57.5800"," 42235900"
"2001-09-17","54.0200","55.1000","52.8000","52.9100"," 63751000"
"2001-09-18","53.4100","55.0000","53.1700","54.3200"," 41591300"
"2001-09-19","54.4600","54.7000","50.6000","53.8700"," 63475100"
"2001-09-20","52.3500","52.6100","50.6700","50.7600"," 58991600"
"2001-09-21","47.9200","50.6000","47.5000","49.7100"," 92488300"
"2001-09-24","50.6500","52.4500","49.8700","52.0100"," 42790100"
"2001-09-25","52.2700","53.0000","50.1600","51.3000"," 42470300"
"2001-09-26","51.5100","51.8000","49.5500","50.2700"," 29262200"
"2001-09-27","50.1000","50.6800","48.0000","49.9600"," 40595600"
